"Name","Region","casesCumulative","cumulative100000p","reported7d","reported7d100000p","reported24h","deathsCumulative","deathsCumulative100000p","deathsreported7d","deathsreported7d100000p","deathsreported24h","transmisionType"
"Comoros","Africa",3930,451.93,8,0.92,0,146,16.79,0,0,0,"Community transmission"
"Timor-Leste","South-East Asia",3879,294.21,1009,76.53,253,8,0.61,4,0.3,3,"Clusters of cases"
"Eritrea","Africa",3822,107.77,88,2.48,0,12,0.34,0,0,0,"Community transmission"
"Guinea-Bissau","Africa",3743,190.19,5,0.25,2,67,3.4,0,0,0,"Community transmission"
"Viet Nam","Western Pacific",3740,3.84,649,0.67,82,35,0.04,0,0,0,"Clusters of cases"
"United States Virgin Islands","Americas",3256,3118.03,78,74.69,20,27,25.86,0,0,0,"Community transmission"
"Jersey","Europe",3236,3001.97,2,1.86,0,69,64.01,0,0,0,"Community transmission"
"Liechtenstein","Europe",3072,7928.36,16,41.29,0,57,147.11,0,0,0,"Sporadic cases"
"Monaco","Europe",2490,6344.92,15,38.22,3,32,81.54,0,0,0,"Sporadic cases"
"Bermuda","Americas",2461,3951.95,32,51.39,6,31,49.78,1,1.61,0,"Community transmission"
"Turks and Caicos Islands","Americas",2404,6209,4,10.33,0,17,43.91,0,0,0,"Clusters of cases"
"Sao Tome and Principe","Africa",2320,1058.59,3,1.37,0,35,15.97,0,0,0,"Community transmission"
"New Zealand","Western Pacific",2289,47.47,11,0.23,1,26,0.54,0,0,0,"Sporadic cases"
"Sint Maarten","Americas",2268,5288.93,21,48.97,0,27,62.96,0,0,0,"Community transmission"
"Liberia","Africa",2125,42.02,12,0.24,0,85,1.68,0,0,0,"Community transmission"
"Saint Vincent and the Grenadines","Americas",1928,1737.88,39,35.15,6,12,10.82,0,0,0,"Community transmission"
"Saint Martin","Americas",1777,4596.6,28,72.43,0,14,36.21,0,0,0,"Community transmission"
"Isle of Man","Europe",1590,1869.88,0,0,0,29,34.1,0,0,0,"No cases"
"Bonaire","Americas",1557,7444.42,16,76.5,0,17,81.28,1,4.78,0,"Community transmission"
"Lao People's Democratic Republic","Western Pacific",1482,20.37,305,4.19,65,1,0.01,1,0.01,0,"Sporadic cases"
"Mauritius","Africa",1288,101.28,47,3.7,0,17,1.34,0,0,0,"Clusters of cases"
"Bhutan","South-East Asia",1263,163.68,102,13.22,6,1,0.13,0,0,0,"Clusters of cases"
"Antigua and Barbuda","Americas",1240,1266.22,4,4.08,0,32,32.68,0,0,0,"Clusters of cases"
"Saint Barthélemy","Americas",994,10055.64,6,60.7,0,1,10.12,0,0,0,"Clusters of cases"
"Guernsey","Europe",822,1275.05,0,0,0,14,21.72,0,0,0,"Community transmission"
"Other","Other",746,NA,0,NA,0,13,NA,0,NA,0,"Not applicable"
"Faroe Islands","Europe",669,1369.08,1,2.05,0,1,2.05,0,0,0,"Sporadic cases"
"Cayman Islands","Americas",560,852.1,15,22.82,12,2,3.04,0,0,0,"Sporadic cases"
"United Republic of Tanzania","Africa",509,0.85,0,0,0,21,0.04,0,0,0,"Pending"
"Wallis and Futuna","Western Pacific",454,4036.99,0,0,0,7,62.24,0,0,0,"Sporadic cases"
"Brunei Darussalam","Western Pacific",232,53.03,3,0.69,1,3,0.69,0,0,0,"Clusters of cases"
"British Virgin Islands","Americas",219,724.28,3,9.92,0,1,3.31,0,0,0,"Clusters of cases"
"Dominica","Americas",178,247.25,4,5.56,3,0,0,0,0,0,"Clusters of cases"
"Northern Mariana Islands (Commonwealth of the)","Western Pacific",170,295.36,2,3.47,0,2,3.47,0,0,0,"Pending"
"Fiji","Western Pacific",165,18.41,36,4.02,4,4,0.45,1,0.11,1,"Sporadic cases"
"Grenada","Americas",161,143.08,0,0,0,1,0.89,0,0,0,"Sporadic cases"
"New Caledonia","Western Pacific",124,43.43,0,0,0,0,0,0,0,0,"Sporadic cases"
"Anguilla","Americas",109,726.57,14,93.32,0,0,0,0,0,0,"Clusters of cases"
"Falkland Islands (Malvinas)","Americas",63,1808.79,0,0,0,0,0,0,0,0,"Sporadic cases"
"Saint Kitts and Nevis","Americas",45,84.6,0,0,0,0,0,0,0,0,"Sporadic cases"
"Greenland","Europe",31,54.6,0,0,0,0,0,0,0,0,"No cases"
"Holy See","Europe",26,3213.84,0,0,0,0,0,0,0,0,"Sporadic cases"
"Saint Pierre and Miquelon","Americas",25,431.41,0,0,0,0,0,0,0,0,"Sporadic cases"
"Montserrat","Americas",20,400.08,0,0,0,1,20,0,0,0,"No cases"
"Sint Eustatius","Americas",20,637.15,0,0,0,0,0,0,0,0,"No cases"
"Solomon Islands","Western Pacific",20,2.91,0,0,0,0,0,0,0,0,"No cases"
"Saba","Americas",7,362.13,0,0,0,0,0,0,0,0,"Sporadic cases"
"Marshall Islands","Western Pacific",4,6.76,0,0,0,0,0,0,0,0,"No cases"
"Vanuatu","Western Pacific",3,0.98,0,0,0,0,0,0,0,0,"No cases"
"Samoa","Western Pacific",1,0.5,0,0,0,0,0,0,0,0,"No cases"
"American Samoa","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Cook Islands","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Democratic People's Republic of Korea","South-East Asia",0,0,0,0,0,0,0,0,0,0,"No cases"
"Kiribati","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Micronesia (Federated States of)","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Nauru","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Niue","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Palau","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Pitcairn Islands","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Saint Helena","Africa",0,0,0,0,0,0,0,0,0,0,"No cases"
"Tokelau","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Tonga","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Turkmenistan","Europe",0,0,0,0,0,0,0,0,0,0,"No cases"
"Tuvalu","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
